
210,3072,'0\%',0.273,0.023,1,Movie,5.412067,5.33355,0,240,736,33.066667,0,56.533333,0,511,178,2,1,1,3192.11,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,3
170,2048,'0\%',0.304,0.043,1,Movie,5.412067,5.33355,0,360,752,30.6,0,52.333333,0,1544.777778,833.197159,4,2,7,4988.78,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,4
249,3584,'0\%',0.49,0.054,1,Movie,5.412067,5.33355,0,480,754,31.666667,0,55.866667,2,2000.222222,748.747217,8,4,9,6783.92,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
99,1024,'0\%',0.286,0.048,2,Cartoon,9.197309,5.874106,2,240,770,26.266667,0,43.066667,0,600,0,2,1,1,3191.93,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,3
262,3584,'0\%',0.439,0.036,2,Cartoon,9.197309,5.874106,2,480,785,32,0,54.933333,0,1367,801.85909,4,2,7,4988.5,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,5
178,2560,'0\%',0.395,0.07,3,Movie,6.422284,5.874106,0,480,795,36.8,11,84.333333,9,570.333333,83.910005,2,1,1,3192.14,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,4
265,3584,'0\%',0.358,0.045,1,Movie,5.412067,5.33355,0,480,808,31.866667,0,56.933333,0,481.333333,132.673367,2,1,1,3192.11,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,5
229,3072,'0\%',0.424,0.05,2,Cartoon,9.197309,5.874106,2,360,845,31.083333,0,53.833333,0,1934,801.85909,4,2,7,4988.51,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,5
241,3584,'0\%',0.307,0.049,3,Movie,6.422284,5.874106,0,480,859,32.133333,0,64.933333,0,2123,707.173246,4,2,7,4988.78,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,4
208,3072,'0\%',0.447,0.056,2,Cartoon,9.197309,5.874106,2,480,924,31.733333,0,53.466667,3,1600,0,8,4,9,6784.45,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
233,3072,'0\%',0.334,0.065,2,Cartoon,9.197309,5.874106,2,360,968,31.733333,0,54,3,3000.777778,748.747217,8,4,9,6784.7,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,5
246,3584,'0\%',0.285,0.054,2,Cartoon,9.197309,5.874106,2,480,968,31.666667,0,54,3,3000.777778,748.747217,8,4,9,6784.7,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
293,4096,'0\%',0.328,0.039,3,Movie,6.422284,5.874106,0,720,1660,32,0,46.266667,0,1756,744.47446,4,2,7,4988.78,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,5
289,4608,'0\%',0.444,0.049,1,Movie,5.412067,5.33355,0,1080,1799,30,0,43.733333,0,2211.888889,572.803523,4,2,7,4988.76,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,5
258,3584,'0\%',0.379,0.073,3,Movie,6.422284,5.874106,0,720,2209,32,0,46.333333,1,1800.111111,565.999695,8,4,9,6784.7,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,5
281,4096,'0\%',0.455,0.033,2,Cartoon,9.197309,5.874106,2,1080,3498,32,0,47.133333,1,1600,0,8,4,9,6784.52,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,5
50,1536,'0\%',0.48,0.065,3,Movie,6.422284,5.874106,0,144,101.2,10.666667,0,23.066667,0,2400.444444,894.924095,8,4,9,6784.85,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,1
191,3072,'0\%',0.358,0.045,3,Movie,6.422284,5.874106,0,240,1012.6,32.2,0,66.133333,0,600,0,2,1,1,3192.11,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,3
26,1024,'0\%',0.295,0.047,2,Cartoon,9.197309,5.874106,2,144,102.4,11.4,0,24.933333,0,600,0,2,1,1,3191.93,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,2
87,1536,'0\%',0.393,0.054,1,Movie,5.412067,5.33355,0,144,102.4,11.866667,0,25.6,0,600,0,2,1,1,3192.14,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,2
86,1536,'0\%',0.395,0.07,1,Movie,5.412067,5.33355,0,144,103.2,11.933333,0,26.066667,0,600,0,2,1,1,3192.14,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,2
221,3072,'0\%',0.33,0.052,3,Movie,6.422284,5.874106,0,360,1032.6,34.8,0,76.733333,0,511,178,2,1,1,3192,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,5
27,1024,'0\%',0.394,0.045,2,Cartoon,9.197309,5.874106,2,144,104.6,10.666667,0,23.066667,0,1934,801.85909,4,2,7,4988.61,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,2
196,3072,'0\%',0.49,0.054,3,Movie,6.422284,5.874106,0,360,1045.6,31.733333,0,63.266667,3,2600.555556,894.924095,8,4,9,6783.92,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
198,3072,'0\%',0.465,0.032,3,Movie,6.422284,5.874106,0,360,1045.6,31.733333,0,63.266667,3,2000.222222,748.747217,8,4,9,6784.52,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
222,3072,'0\%',0.456,0.042,3,Movie,6.422284,5.874106,0,360,1045.6,35.066667,0,73.866667,0,600,0,2,1,1,3192.14,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,5
255,3584,'0\%',0.495,0.043,3,Movie,6.422284,5.874106,0,480,1045.6,31.733333,0,63.266667,3,2000.222222,748.747217,8,4,9,6783.92,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,5
56,1536,'0\%',0.502,0.063,2,Cartoon,9.197309,5.874106,2,144,105.4,10.666667,0,23.066667,0,2200.333333,848.999542,8,4,9,6784.63,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,1
195,3072,'0\%',0.346,0.096,3,Movie,6.422284,5.874106,0,360,1051.4,32.2,0,66.133333,0,1288.888889,695.132992,4,2,7,4988.78,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,4
81,1536,'0\%',0.341,0.044,2,Cartoon,9.197309,5.874106,2,144,107.2,10.666667,0,23.066667,0,3000.777778,748.747217,8,4,9,6784.7,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,2
28,1024,'0\%',0.497,0.045,2,Cartoon,9.197309,5.874106,2,144,107.8,10.666667,0,23.066667,0,1367,801.85909,4,2,7,4988.76,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,2
182,2560,'0\%',0.489,0.082,1,Movie,5.412067,5.33355,0,480,1083.6,31.266667,0,58,2,2600.555556,894.924095,8,4,9,6783.92,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
239,3584,'0\%',0.411,0.032,3,Movie,6.422284,5.874106,0,480,1102.6,32.133333,0,66.133333,0,989,534.572727,4,2,7,4988.38,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,4
67,1536,'0\%',0.407,0.063,3,Movie,6.422284,5.874106,0,144,113.8,10.666667,0,23.066667,0,2501,0,4,2,7,4988.76,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,2
252,3584,'0\%',0.435,0.071,1,Movie,5.412067,5.33355,0,1080,1130.6,22.133333,0.8,32.933333,3,1800.111111,565.999695,8,4,9,6784.45,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
32,1024,'0\%',0.292,0.047,1,Movie,5.412067,5.33355,0,144,121.6,11.4,0,25.066667,0,600,0,2,1,1,3191.93,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,2
